A1:1
A2:1
A3:1
C2:1
D1:1
G***:2
H1:1
H2:1
H3:1
I2C_PWM_DRIVER1:1
J2:1
J5:1
R1:1
R2:1
R3:1
U2:1
U3:1
U4:1
