Designator,Mid X,Mid Y,Rotation,Layer
C2,143.795,-76.915,180.0,top
D1,151.175,-67.2,180.0,top
I2C_PWM_DRIVER1,141.925,-83.215,270.0,top
J2,57.74,-108.44,90.0,top
J5,105.545,-57.315,0.0,bottom
R1,153.0,-72.8,270.0,top
R2,150.95,-72.78,270.0,top
R3,148.84,-72.74,270.0,top
U2,116.953601,-85.642915,0.0,bottom
U3,96.252931,-85.585807,0.0,bottom
U4,75.476497,-85.622914,0.0,bottom
