Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6",0805,3,1u,
"J1, J10, J2, J3, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,7,Conn_01x02_Pin,
J4,1.25__FUSECLIPS,1,Conn_01x04_Pin,
J5,PinHeader_2x40_P2.54mm_Vertical,1,Conn_02x40_Odd_Even,
J6,SUPERSABRE_2CIRCUIT,1,1720420202,
PS1,CONV_THL_25-2411WI,1,THL_25-2411WI,
"Q1, Q2",TO-220-3_Vertical,2,IRF5305PbF,
"R1, R6",0805,2,10kO,
U1,240W_CONV,1,~,
U3,CONV_TSR_2-2450,1,TSR2-2450,
U4,CONV_TSR2-2433,1,TSR2-2433,
