C1:1
C3:1
C6:1
G***:2
H1:1
H2:1
H3:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
PS1:1
Q1:1
Q2:1
R1:1
R6:1
U1:1
U3:1
U4:1
