Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",Banana_Jack_1Pin,2,Conn_01x01_Socket,
"LED1, LED2, LED3",XPEBLUL1000000201,3,XPEBLU-L1-0000-00201,
